Timestamp, Cloudwatch, Cloudmonitoring, ADX, Athena, Azure-monitor, Redshift, Timestream, X-Ray
1644244704, 72, 55, 63, 60, 56, 49, 66, 72
1645195104, 74, 55, 64, 60, 56, 49, 68, 72
